type,name,lat,lon,total,date
1,São Paulo/SP,-23.5506507,-46.633382399999995,62,2020-03-17_12:00:00
1,Barra Mansa/RJ,-22.539484299999998,-44.1735129,1,2020-03-17_12:00:00
1,Vila Velha/ES,-20.3297293,-40.2920284,2,2020-03-17_12:00:00
1,Feira de Santana/BA,-12.2578934,-38.9598047,5,2020-03-17_12:00:00
1,Rio de Janeiro/RJ,-22.911013699999998,-43.2093727,29,2020-03-17_12:00:00
1,Brasília/DF,-15.7934036,-47.8823172,14,2020-03-17_12:00:00
1,Maceió/AL,-9.647684300000002,-35.73392639999999,1,2020-03-17_12:00:00
1,Santana de Parnaíba/SP,-23.4446715,-46.916772200000004,1,2020-03-17_12:00:00
1,Divinópolis/MG,-20.1434559,-44.89125,1,2020-03-17_12:00:00
1,Niterói/RJ,-22.883237100000002,-43.1154552,1,2020-03-17_12:00:00
1,Campo Bom/RS,-29.674694,-51.060601,1,2020-03-17_12:00:00
1,Porto Alegre/RS,-30.0324999,-51.23037670000001,16,2020-03-17_12:00:00
1,Recife/PE,-8.064193099999999,-34.878151700000004,13,2020-03-17_12:00:00
1,Caxias do Sul/RS,-29.168479600000005,-51.1793861,2,2020-03-17_12:00:00
1,Curitiba/PR,-25.4295963,-49.2712724,7,2020-03-17_12:00:00
1,Cianorte/PR,-23.662035999999997,-52.61039889999999,2,2020-03-17_12:00:00
1,Ferraz de Vasconcelos/SP,-23.541056,-46.37097,1,2020-03-17_12:00:00
1,Florianópolis/SC,-27.5973002,-48.5496098,3,2020-03-17_12:00:00
1,Ipatinga/MG,-19.4777807,-42.5270802,1,2020-03-17_12:00:00
1,Rio Verde/GO,-17.7921255,-50.9191219,2,2020-03-17_12:00:00
1,Goiânia/GO,-16.680882,-49.2532691,5,2020-03-17_12:00:00
1,Natal/RN,-5.805398,-35.20809050000001,1,2020-03-17_12:00:00
1,Salvador/BA,-12.982249900000001,-38.48127720000001,5,2020-03-17_12:00:00
1,Manaus/AM,-3.1316333,-59.9825041,1,2020-03-17_12:00:00
1,Joinville/SC,-26.3044898,-48.8486726,1,2020-03-17_12:00:00
1,Rancho Queimado/SC,-27.6731108,-49.0126867,2,2020-03-17_12:00:00
1,Campo Grande/MS,-20.464017300000002,-54.61629470000001,4,2020-03-17_12:00:00
1,Juiz de Fora/MG,-21.7609533,-43.3501129,2,2020-03-17_12:00:00
1,Patrocínio/MG,-18.9408294,-46.9926624,1,2020-03-17_12:00:00
1,Aracaju/SE,-10.9162061,-37.0774655,5,2020-03-17_12:00:00
1,Linhares/ES,-19.381694399999997,-40.0612213,1,2020-03-17_12:00:00
0,NÃO ESPECIFICADA/ES,-19.5687682,-40.1721991,5,2020-03-17_12:00:00
1,Carapicuíba/SP,-23.5234673,-46.840680799999994,1,2020-03-17_12:00:00
1,Braço do Norte/SC,-28.272863300000004,-49.162271200000006,1,2020-03-17_12:00:00
0,NÃO ESPECIFICADA/SP,-21.95498060000001,-49.0232348,99,2020-03-17_12:00:00
1,Fortaleza/CE,-3.7304512,-38.5217989,10,2020-03-17_12:00:00
1,Coronel Fabriciano/MG,-19.5200067,-42.6282686,1,2020-03-17_12:00:00
1,Aquiraz/CE,-3.9063117,-38.387504,1,2020-03-17_12:00:00
1,Belo Horizonte/MG,-19.9227318,-43.9450948,5,2020-03-17_12:00:00
1,Anápolis/GO,-16.3332828,-48.952575599999996,2,2020-03-17_12:00:00
1,Porto Seguro/BA,-16.443473,-39.064251,3,2020-03-17_12:00:00
1,Belo Jardim/PE,-8.3338293,-36.4176419,1,2020-03-17_12:00:00
1,Jaboatão dos Guararapes/PE,-8.175247599999999,-34.9468716,1,2020-03-17_12:00:00
0,ESTRANGEIRO/PE,-8.4116316,-37.591969899999995,3,2020-03-17_12:00:00
0,NÃO ESPECIFICADA/DF,-15.7754462,-47.7970891,8,2020-03-17_12:00:00
1,Prado/BA,-17.336357,-39.222721,1,2020-03-17_12:00:00
1,Rio Branco/AC,-9.9765362,-67.82207779999999,3,2020-03-17_12:00:00
0,NÃO ESPECIFICADA/RJ,-22.2752762,-42.419415,2,2020-03-17_12:00:00
1,Nova Lima/MG,-19.9854089,-43.8470691,1,2020-03-17_12:00:00
1,Sete Lagoas/MG,-19.466110999999998,-44.246944,1,2020-03-17_12:00:00
1,Uberlândia/MG,-18.918804100000006,-48.2767837,1,2020-03-17_12:00:00
1,Campo Largo/PR,-25.4597726,-49.5270851,1,2020-03-17_12:00:00
1,Pinhais/PR,-25.4443488,-49.1900307,1,2020-03-17_12:00:00
1,Londrina/PR,-23.3112878,-51.1595023,1,2020-03-17_12:00:00
1,São Paulo/SP,-23.5506507,-46.633382399999995,145,2020-03-18_12:00:00
